Country,CO2 Emission,Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,GNI cat,Year
Australia,15.238,0.941,83.11,21.57801056,12.65668964,47312.2,Very High GNI,2019
United Kingdom,5.221,0.935,81.725,17.30971909,13.32452361,47251.8,Very High GNI,2019
France,4.469,0.905,82.7315,15.81206989,11.61005974,46963.2,Very High GNI,2019
Japan,8.541,0.924,84.4258,15.22162588,13.36610034,43375.8,Very High GNI,2019
Italy,5.311,0.897,83.552,16.22678947,10.65328026,43121.8,Very High GNI,2019
Bahrain,20.266,0.882,80.0186,16.29755974,10.79733992,42664.3,Very High GNI,2019
New Zealand,6.83,0.937,82.5665,20.28388977,13.04222727,42403.5,Very High GNI,2019
Spain,5.091,0.908,83.5321,17.91690063,10.37387514,40725.6,Very High GNI,2019
Israel,6.92,0.921,82.8123,16.05088997,13.3448664,40633.6,Very High GNI,2019
Malta,3.293,0.915,83.2065,16.83856964,12.02542019,40611.1,Very High GNI,2019
Cyprus,5.999,0.897,81.397,15.64826965,12.36152506,39568.0,Very High GNI,2019
Slovenia,6.512,0.921,81.6042,17.65492058,12.80368042,38439.6,Very High GNI,2019
Estonia,7.672,0.896,78.6693,15.92895985,13.60237026,35879.6,Very High GNI,2019
Lithuania,4.198,0.884,76.2119,16.28506088,13.39486345,35705.3,Very High GNI,2019
Portugal,4.34,0.867,81.7007,16.87122917,9.327420235,34078.6,Very High GNI,2019
Poland,7.774,0.881,77.9272,16.0271492,13.12476754,31839.0,Very High GNI,2019
Hungary,4.747,0.853,76.4543,15.0336281,12.15954494,31464.4,Very High GNI,2019
Latvia,3.955,0.871,75.5337,16.20252991,13.25271988,31058.9,Very High GNI,2019
Romania,3.817,0.832,76.5079,14.22990036,11.27511978,29442.2,Very High GNI,2019
Panama,3.141,0.817,77.8103,13.05787868,10.54059029,29342.3,High GNI,2019
Greece,5.596,0.889,81.2489,20.02878952,11.11997271,29102.9,High GNI,2019
Oman,15.282,0.839,78.0022,14.31089973,11.23264236,29071.0,High GNI,2019
Croatia,4.064,0.861,78.7376,15.11209965,12.19108434,28898.0,High GNI,2019
Malaysia,7.927,0.81,75.7603,13.48631954,10.64505959,27678.6,High GNI,2019
Russian Federation,11.797,0.845,73.9332,15.76636982,12.77428805,26317.8,High GNI,2019
Seychelles,6.248,0.802,74.169,14.19274998,10.28312,26084.3,High GNI,2019
Trinidad and Tobago,12.323,0.821,74.2279,14.53545292,11.61062419,25722.5,High GNI,2019
Mauritius,3.295,0.817,75.1179,15.17352977,10.42791048,25589.3,High GNI,2019
Chile,4.821,0.861,80.3263,16.73130035,10.9349663,24077.2,High GNI,2019
Kazakhstan,11.457,0.819,71.5675,15.6129303,12.34756189,22786.6,High GNI,2019
Bulgaria,5.611,0.81,75.0624,13.89729023,11.35635344,22732.0,High GNI,2019
Uruguay,1.875,0.821,77.5085,16.83259964,8.982549667,21916.8,High GNI,2019
Montenegro,4.18,0.837,77.0396,14.94519997,12.17648306,21772.6,High GNI,2019
Argentina,3.741,0.852,77.2845,17.8748703,11.14726927,21197.7,High GNI,2019
Antigua and Barbuda,5.354,0.8,78.6912,14.18462641,9.293740746,20601.0,High GNI,2019
Costa Rica,1.632,0.819,79.4272,16.54577065,8.763615131,19684.9,High GNI,2019
Mexico,3.522,0.779,74.2021,14.86443996,9.077120304,19096.6,High GNI,2019
Nauru,5.574,,63.4845,11.69042029,,18778.4,High GNI,2019
Palau,13.888,0.776,64.8043,15.89943297,12.49143,18740.4,High GNI,2019
Belarus,6.122,0.817,74.216,15.23906994,12.14358044,18702.5,High GNI,2019
Thailand,3.836,0.804,78.9751,15.88221913,8.697119713,17773.7,High GNI,2019
Maldives,3.974,0.755,80.116,12.63560963,7.322,17710.8,High GNI,2019
Dominican Republic,2.536,0.771,73.5767,14.46655802,9.306864107,17572.7,High GNI,2019
Serbia,6.616,0.811,76.704,14.65697002,11.36987019,17314.3,High GNI,2019
Suriname,4.558,0.755,72.2423,13.03564357,9.77680063,17226.5,High GNI,2019
Botswana,3.147,0.717,65.4636,12.26513765,10.34,16308.1,High GNI,2019
North Macedonia,3.997,0.784,77.2928,13.62443234,10.05568314,15981.3,High GNI,2019
China,7.606,0.762,77.968,14.2361149,7.600118446,15933.5,High GNI,2019
Libya,8.381,0.722,72.4634,12.85428,7.599985,15687.7,High GNI,2019
Grenada,2.946,0.8,74.8632,18.66202035,9.032104,14983.8,High GNI,2019
Barbados,4.355,0.799,77.2569,15.71338458,9.852700596,14919.6,High GNI,2019
Bosnia and Herzegovina,6.383,0.783,77.2412,13.8,10.17434978,14849.1,High GNI,2019
Lebanon,4.077,0.745,79.2359,11.28587,8.718636,14377.6,High GNI,2019
Brazil,2.058,0.766,75.3379,15.59906006,8.128813955,14367.2,High GNI,2019
Georgia,2.718,0.81,73.4696,15.6153698,12.82221985,14314.3,High GNI,2019
Colombia,1.61,0.768,76.7523,14.51506042,8.643030167,14240.6,High GNI,2019
Armenia,2.086,0.778,75.4386,13.10608959,11.2827301,13847.9,High GNI,2019
Azerbaijan,3.542,0.761,73.1023,13.47167015,10.5429697,13838.5,High GNI,2019
Guyana,3.641,0.708,69.1239,12.50272216,8.565687727,13600.3,High GNI,2019
Albania,1.692,0.81,79.2825,14.81892014,11.28645502,13485.3,High GNI,2019
Equatorial Guinea,3.945,0.605,61.6444,9.73494,5.910863,13447.1,High GNI,2019
South Africa,7.508,0.736,66.175,13.64371014,11.37316036,13366.5,Mid GNI,2019
Turkmenistan,12.263,0.742,69.0016,12.93278027,11.26139,13227.8,Mid GNI,2019
Gabon,2.416,0.709,66.6028,12.97731,9.436,13061.9,Mid GNI,2019
Ukraine,3.937,0.786,74.5364,14.95656854,11.13142043,12964.4,Mid GNI,2019
Sri Lanka,1.091,0.778,76.0084,14.13990486,10.63134003,12699.6,Mid GNI,2019
Dominica,2.367,0.729,73.5588,13.3191862,8.142186,12694.1,Mid GNI,2019
Fiji,1.832,0.746,67.8933,14.68548499,10.92154799,12526.2,Mid GNI,2019
Peru,1.746,0.78,76.1559,15.38773354,9.885518863,12303.7,Mid GNI,2019
Paraguay,1.165,0.732,73.6207,12.98799113,8.810709953,12241.7,Mid GNI,2019
Indonesia,2.29,0.716,70.5184,13.74889386,8.359274864,11453.5,Mid GNI,2019
Algeria,3.978,0.748,76.4742,14.62689602,8.069284397,11241.9,Mid GNI,2019
Mongolia,7.153,0.746,71.8221,14.98034954,9.485507298,11098.9,Mid GNI,2019
Ecuador,2.261,0.76,77.2971,14.62423038,8.800052961,11034.2,Mid GNI,2019
Tunisia,2.558,0.745,75.9933,15.42538224,7.431598614,10910.4,Mid GNI,2019
Iraq,4.441,0.696,71.5764,12.08747317,7.905593489,10869.5,Mid GNI,2019
Bhutan,1.376,0.671,71.3909,13.22500478,5.170262283,10791.7,Mid GNI,2019
Jordan,2.438,0.727,76.044,10.56050968,10.39878988,10072.7,Mid GNI,2019
Philippines,1.345,0.718,71.8649,13.39021015,8.969099998,9790.6,Mid GNI,2019
Namibia,1.692,0.639,63.075,11.92720692,7.192013277,9565.7,Mid GNI,2019
Jamaica,2.846,0.719,71.767,13.40492042,9.154628661,9503.7,Mid GNI,2019
Cuba,2.286,0.788,77.6112,14.4114399,12.49773438,8748.7,Mid GNI,2019
Guatemala,1.163,0.642,73.1289,10.56245041,5.681300163,8494.5,Mid GNI,2019
El Salvador,1.209,0.683,72.5586,12.67134767,7.112040043,8338.9,Mid GNI,2019
Uzbekistan,3.476,0.726,71.3441,12.47714043,11.89558983,7499.5,Mid GNI,2019
Morocco,1.96,0.682,74.2705,13.95818996,5.916,7398.1,Mid GNI,2019
Cabo Verde,1.182,0.676,76.0042,12.55461444,6.287719287,7017.1,Mid GNI,2019
Tonga,1.531,0.744,70.8715,15.95901882,11.392594,6903.4,Mid GNI,2019
Belize,1.64,0.705,73.9313,13.14089012,9.011462021,6676.3,Mid GNI,2019
India,1.798,0.645,70.9098,11.46362019,6.655109195,6650.1,Mid GNI,2019
Samoa,1.522,0.715,72.1572,12.39812403,11.43447441,6357.0,Mid GNI,2019
Angola,0.792,0.595,62.4484,12.1721,5.417390823,6082.7,Mid GNI,2019
Tuvalu,0.858,0.635,64.2775,9.64264,10.45828538,5693.6,Mid GNI,2019
Honduras,1.049,0.632,72.8811,10.13281417,7.088479996,5316.5,Mid GNI,2019
Ghana,0.659,0.631,64.7401,11.86730957,8.329886695,5307.4,Mid GNI,2019
Mauritania,0.873,0.563,65.6869,9.376159668,4.918804891,5277.3,Mid GNI,2019
Nicaragua,0.801,0.664,74.0543,12.64135783,7.144,5262.4,Mid GNI,2019
Nigeria,0.574,0.538,52.9104,10.12758388,7.181074153,4971.5,Mid GNI,2019
Bangladesh,0.557,0.644,72.8057,12.23883533,6.549980164,4964.5,Mid GNI,2019
Marshall Islands,3.062,0.64,64.7458,10.2393198,10.88313961,4956.3,Mid GNI,2019
Djibouti,0.431,0.512,63.0854,7.43298,4.1,4916.6,Mid GNI,2019
Syrian Arab Republic,1.506,0.584,71.8224,9.164219856,5.1,4914.3,Mid GNI,2019
Timor-Leste,0.479,0.614,68.2684,12.616098,5.43679,4865.0,Mid GNI,2019
Kiribati,0.765,0.63,67.1497,11.801993,7.984461822,4673.0,Low GNI,2019
Pakistan,0.88,0.546,66.7558,8.658349991,4.536330223,4603.6,Low GNI,2019
Myanmar,0.679,0.598,66.6104,10.90913752,6.37680006,4582.1,Low GNI,2019
Kenya,0.424,0.581,62.9432,10.69855835,6.652,4381.5,Low GNI,2019
Papua New Guinea,0.864,0.56,65.4738,10.36077074,4.74,4166.1,Low GNI,2019
Tajikistan,1.011,0.676,70.8674,11.65303618,11.3333938,4156.0,Low GNI,2019
Cambodia,0.981,0.598,70.6923,11.46772,5.088,4123.0,Low GNI,2019
Nepal,0.47,0.611,69.5576,13.15132046,5.121792742,3994.2,Low GNI,2019
Sao Tome and Principe,0.698,0.622,68.5231,13.36538506,6.215599435,3991.3,Low GNI,2019
Sudan,0.482,0.514,65.8755,7.945187858,3.82,3909.9,Low GNI,2019
Zimbabwe,0.803,0.601,61.2925,12.11096904,8.710908501,3674.6,Low GNI,2019
Cameroon,0.364,0.583,61.5839,13.10859922,6.151311543,3661.9,Low GNI,2019
Vanuatu,0.7,0.611,69.8769,11.53531503,7.064846,3417.7,Low GNI,2019
Zambia,0.381,0.575,62.7926,10.92876021,7.187091494,3365.4,Low GNI,2019
Senegal,0.652,0.513,68.5258,8.844010353,2.937938258,3267.7,Low GNI,2019
Benin,0.619,0.53,60.4537,11.22864723,4.304786445,3254.2,Low GNI,2019
Comoros,0.376,0.56,64.0684,11.92432393,5.078649,3099.8,Low GNI,2019
Haiti,0.295,0.543,64.2546,9.7,5.554,3083.6,Low GNI,2019
Lesotho,0.362,0.524,54.1726,12.04087801,6.010184707,2959.5,Low GNI,2019
Solomon Islands,0.537,0.567,70.3821,10.32869027,5.711848,2631.8,Low GNI,2019
Guinea,0.309,0.467,59.7199,9.805297465,2.202125952,2437.0,Low GNI,2019
Mali,0.297,0.433,59.6637,7.423037617,2.31,2241.8,Low GNI,2019
Ethiopia,0.164,0.498,65.8377,9.651071421,3.201520681,2204.8,Low GNI,2019
Rwanda,0.105,0.534,66.437,11.23097038,4.425292358,2153.7,Low GNI,2019
Togo,0.293,0.535,60.9011,12.95049378,5.016807367,2128.4,Low GNI,2019
Uganda,0.132,0.525,62.9913,10.14986994,5.730941566,2124.9,Low GNI,2019
Afghanistan,0.16,0.488,63.5645,10.26384398,2.756953288,2097.9,Low GNI,2019
Burkina Faso,0.246,0.452,60.0391,9.262040138,2.114962259,2055.3,Low GNI,2019
Guinea-Bissau,0.172,0.49,60.8818,10.61306278,3.583719,1980.3,Low GNI,2019
Eritrea,0.252,0.495,67.2996,8.064524628,4.8872352,1741.0,Low GNI,2019
Sierra Leone,0.115,0.48,60.2549,9.57339109,4.576081285,1684.5,Low GNI,2019
Madagascar,0.153,0.51,65.8821,10.13499142,5.120468534,1559.7,Low GNI,2019
Chad,0.141,0.403,53.2594,8.035914334,2.57377421,1555.4,Low GNI,2019
Malawi,0.078,0.519,64.1188,12.67898523,4.489695385,1503.1,Low GNI,2019
Liberia,0.239,0.484,61.1044,10.34691919,5.082,1338.5,Low GNI,2019
Niger,0.092,0.406,62.8967,6.957111988,2.116717299,1279.0,Low GNI,2019
Mozambique,0.247,0.456,61.1662,10.2191516,3.197641838,1257.9,Low GNI,2019
Somalia,0.045,,57.0776,,,1071.9,Low GNI,2019
Central African Republic,0.051,0.411,55.0253,8.040171714,4.334,1017.1,Low GNI,2019
South Sudan,0.154,0.393,55.912,5.54251,5.726140022,827.1,Low GNI,2019
Burundi,0.062,0.431,62.3514,10.72272189,3.129266883,753.9,Low GNI,2019
Monaco,,,86.5424,,,,Low GNI,2019
